"city tours, cycling, boat safaris","Bentota River, Kandy City Centre, Colombo City Tour, Madu River, Ella"
"rock climbing, butterfly watching, beach visits","Tangalle Beach, Yapahuwa Rock Fortress, Jungle beach, Mirissa Beach, Bentota Beach"
"museum visits, ayurvedic spa treatments, snorkeling","National Museum Galle, Bentota, Ratnapura Gem Museum, Kandy National Museum, Mirissa Beach"
"city tours, golfing, photography","Sinharaja Forest Reserve, Ella, Sigiriya, Colombo City Tour, Kandy City Centre"
"historic walks, horseback riding, zip-lining","Polonaruwa, Ella, Dambulla, Anuradapura, Kandy Lake"
"cultural experiences, traditional ceremonies, zip-lining","Mihintale, Nallur Kandaswamy Kovil, Ella, Sri Dalada Maligawa, Kithulgala"
"archaeological sites, amusement parks, sea cruises","Colombo Port City, Leisure World, Polonaruwa, Mirissa Beach, Perl Bay"
"rock climbing, camping, zip-lining","Yapahuwa Rock Fortress, Belihuloya, Meemure, Kithulgala, Horton Plains"
"hiking, sailing, elephant rides","Udawalawe, Negombo Lagoon, Sri Pada / Adams Peak, Trincomalee Harbour, Pinnawala"
"art classes, outdoor adventures, amusement parks","Kitulgala, Hikkaduwa Coral Sanctuary, Galle, Perl Bay, Riverstone Gap"
"village homestays, historic sites, ayurvedic spa treatments","Haputale, Polonnaruwa Ancient City, Sigiriya, Hikkaduwa, Bentota"
"mountain biking, themed parks, elephant rides","Jungle Beach, Pinnawala, Udawalawe, Hatton, Viharamahadevi Park"
"planetarium visits, cultural festivals, tea tasting","Sri Lanka Planetarium, Kandy, Nallur Kandaswamy Devasthanam, Nuwara Eliya"
"yoga retreats, river cruises, caving","Hiriketiya, Wavulpone Cave, Ritigala, Madu River, Belilena Caves"
"sailing, ayurvedic spa treatments, archaeological sites","Anuradhapura, Bentota, Colombo Port City, Negombo Lagoon, Sigiriya"
"tea tasting, safaris, golfing","Nuwara Eliya Golf Club, Nuwara Eliya, Kumana National Park, Victoria Golf Club, Wilpattu National Park"
"snorkeling, village homestays, art classes","Colombo, Ella, Mirissa Beach, Galle, Nilaveli Beach"
"arts and culture, architecture tours, water parks","Sigiriya, Jaffna Public Library, Water World Lanka, Museum of Modern and Contemporary Art, Galle Dutch Fort"
"elephant rides, hot springs, river cruises","Mahapelessa Hot Springs, Maha Oya Hot Water Springs, Madu River, Bentota River, Pinnawala"
"sailing lessons, traditional ceremonies, bird watching","Kumana National Park, Sri Dalada Maligawa, Nallur Kandaswamy Kovil, Trincomalee, Horton Plains National Park"
"safaris, temple pilgrimages, cultural festivals","Nallur Kandaswamy Devasthanam, Kandy, Dambulla Royal Cave Temple and Golden Temple, Jaya Sri Maha Bodhi, Mihintale"
"fishing, arts and culture, caving","Batatotalena (Batadombalena) Cave, Jaffna Public Library, Negombo Lagoon, Kalpitiya, Hikkaduwa"
"scuba diving, bird watching, historic walks","Hikkaduwa Coral Sanctuary, Sinharaja Forest Reserve, Bundala National Park, Horton Plains National Park, Negombo"
"safaris, photography, yoga retreats","Kumana National Park, Ella, Galle, Minneriya National Park, Wilpattu National Park"
"local crafts, spiritual retreats, planetarium visits","Ambalangoda, Sri Dalada Maligawa, Sri Lanka Planetarium, Seetha Eliya, Sri Pada / Adams Peak"
"yoga retreats, scuba diving, outdoor adventures","Riverstone Gap, Kitulgala, Kalpitiya, Pigeon Island, Galle"
"amusement parks, hot air ballooning, sea cruises","Negombo Lagoon, Mirissa Beach, Leisure World, Colombo Port City, Perl Bay"
"archaeological sites, landscape photography, historic sites","Polonnaruwa Ancient City, Anuradhapura, Polonaruwa, Mihintale, Galle Dutch Fort"
"wildlife viewing, zip-lining, scuba diving","Wilpattu National Park, Yala National Park, Wasgamuwa National Park, Kalpitiya, Hikkaduwa Coral Sanctuary"
"village homestays, historic sites, spiritual retreats","Sri Pada / Adams Peak, Sri Dalada Maligawa, Galle Dutch Fort, Polonnaruwa Ancient City, Trincomalee"
"zip-lining, sailing lessons, horseback riding","Dambulla, Ella, Trincomalee, Negombo, Kithulgala"
"sailing lessons, archaeological sites, historical monuments","Negombo, Polonnaruwa, Polonaruwa, Anuradhapura, Sigiriya"
"planetarium visits, historic sites, sea cruises","Mirissa Beach, Sri Lanka Planetarium, Anuradhapura, Negombo Lagoon, Galle Dutch Fort"
"landscape photography, cycling, temple pilgrimages","Sigiriya, Hatton, Jaya Sri Maha Bodhi, Ella Gap, Sri Pada / Adams Peak"
"turtle watching, butterfly watching, photography","Nine Arches Bridge, Kosgoda Turtle Hatchery, Rekawa Beach, Hikkaduwa, Kanneliya National Rain Forest Reserve"
"turtle watching, wildlife viewing, arts and culture","Wilpattu National Park, National Gallery of Art, Museum of Modern and Contemporary Art, Wasgamuwa National Park, Nelung Arts Centre"
"scuba diving, paddleboarding, turtle watching","Pigeon Island, Hikkaduwa Coral Sanctuary, Unawatuna Beach, Rekawa Beach, Trincomalee"
"boat safaris, photography, architecture tours","Yala National Park, Ella, Horton Plains National Park, Madu River, Galle Dutch Fort"
"beachfront dining, art classes, history tours","Galle, Unawatuna, Polonnaruwa Ancient City, Colombo, Mirissa Beach"
"horse shows, cultural experiences, city tours","Galle City Tour, Mihintale, Colombo City Tour, Nuwara Eliya, Dambulla Royal Cave Temple and Golden Temple"
"boat safaris, rock climbing, beach visits","Jungle beach, Madu River, Bentota Beach, Tangalle Beach, Koggala Beach"
"cultural festivals, sailing lessons, river cruises","Nallur Kandaswamy Devasthanam, Kandy, Bentota River, Negombo, Trincomalee"
"rock climbing, butterfly watching, water parks","Pearl Bay, Sinharaja Forest Reserve, Ella Rock, Water World Lanka, Horton Plains National Park"
"local crafts, architecture tours, beachfront dining","Ambalangoda, Mirissa Beach, Unawatuna, Galle, Kandy"
"archaeological sites, art classes, architecture tours","Galle, Colombo, Polonaruwa, Anuradhapura, Sigiriya"
"historic walks, cultural festivals, golfing","Kandy Lake, Royal Colombo Golf Club, Victoria Golf Club, Kandy, Nallur Kandaswamy Devasthanam"
"horseback riding, local crafts, city tours","Kandy City Centre, Ambalangoda, Haputale, Galle City Tour, Nuwara Eliya"
"archaeological sites, botanical gardens, wildlife viewing","Polonaruwa, Sigiriya, Royal Botanical Gardens, Peradeniya, Seethawaka Wet Zone Botanical Gardens, Minneriya National Park"
"literary tours, waterfalls, golfing","Martin Wickramasinghe Folk Museum, Bakers Falls, Diyaluma Falls, Dunhinda Waterfall,  Laxapana Falls"
"planetarium visits, surfing, fishing","Ahangama, Kalpitiya, Mirissa Beach, Weligama Beach, Hikkaduwa"
"traditional ceremonies, planetarium visits, yoga retreats","Hiriketiya, Sri Dalada Maligawa, Nallur Kandaswamy Kovil, Galle, Sri Lanka Planetarium"
"sea cruises, outdoor adventures, historical monuments","Anuradhapura, Riverstone Gap, Mirissa Beach, Colombo Port City, Trincomalee Harbour"
"archaeological sites, caving, hiking","Polonaruwa, Horton Plains National Park, Sri Pada / Adams Peak, Batatotalena (Batadombalena) Cave, Belilena Caves"
"literary tours, art classes, snorkeling","Jaffna Public Library, Pigeon Island, Galle, Colombo, Martin Wickramasinghe Folk Museum"
"sea cruises, hiking, arts and culture","Trincomalee Harbour, National Gallery of Art, Sri Pada / Adams Peak, Ella Rock, Colombo Port City"
"amusement parks, elephant rides, golfing","Excel World, Royal Colombo Golf Club, Pinnawala, Udawalawe, Colombo Port City"
"beach visits, sailing lessons, photography","Negombo, Sinharaja Forest Reserve, Nine Arches Bridge, Marakolliya Beach, Yala National Park"
"themed parks, safaris, cycling","Hatton, Viharamahadevi Park, Ella, Yala National Park, Kumana National Park"
"boat safaris, temple pilgrimages, museum visits","Sri Pada / Adams Peak, Ratnapura Gem Museum, Kandy National Museum, Mihintale, Jaya Sri Maha Bodhi"
"photography, hot springs, horse shows","Kandy, Yala National Park, Madunagala Hot Water Spring, Nuwara Eliya, Sigiriya"
"theater, snorkeling, architecture photography","Hikkaduwa Beach, Galle Fort, Nilaveli Beach, Nelum Pokuna Theatre, Velgam Vehera Buddhist Temple"
"literary tours, hot springs, butterfly watching","Madunagala Hot Water Spring, Mahapelessa Hot Springs, Jaffna Public Library, Horton Plains National Park, Kanniya Hot Springs"
"city tours, cycling, landscape photography","Galle City Tour, Horton Plains, Kandy City Centre, Sigiriya, Hatton"
"history tours, cycling, historic sites","Galle Dutch Fort, Mihintale, Polonnaruwa Ancient City, Hatton, Ella"
"horseback riding, kayaking, turtle watching","Bolgoda Lake, Haputale, Kosgoda Turtle Hatchery, Dambulla, Madu River"
"bird watching, traditional ceremonies, animal encounters","Kanneliya National Rain Forest Reserve, Kumana National Park, Elephant Transit Home, Bundala National Park, Udawalawe National Park"
"boat safaris, golfing, spiritual retreats","Nuwara Eliya Golf Club, Ruhunu Maha Kataragama Dewalaya, Sri Dalada Maligawa, Victoria Golf Club, Sri Pada / Adams Peak"
"architecture photography, arts and culture, botanical gardens","Gangaramaya Temple, Hakgala Botanical Garden, Royal Botanical Gardens, Peradeniya, Velgam Vehera Buddhist Temple, National Gallery of Art"
"water parks, fishing, beach visits","Mirissa Beach, Negombo Lagoon, Bentota Beach, Hiriketiya Beach, Nilaveli Beach"
"historic walks, butterfly watching, cycling","Ella, Polonaruwa, Horton Plains National Park, Kanneliya National Rain Forest Reserve, Hatton"
"ayurvedic spa treatments, sailing, history tours","Colombo Port City, Trincomalee Harbour, Hikkaduwa, Galle Dutch Fort, Negombo Lagoon"
"spiritual retreats, craft workshops, sightseeing","Dambulla Royal Cave Temple and Golden Temple, Pidurangala Rock, Horton Plains, Sri Dalada Maligawa, Sri Pada / Adams Peak"
"snorkeling, turtle watching, elephant rides","Pigeon Island, Kosgoda Turtle Hatchery, Nilaveli Beach, Hikkaduwa, Unawatuna Beach"
"outdoor adventures, hot springs, beachfront dining","Galle, Pigeon Island, Kitulgala, Mahapelessa Hot Springs, Madunagala Hot Water Spring"
"kayaking, horse shows, sea cruises","Nuwara Eliya, Mirissa Beach, Negombo Lagoon, Kalpitiya Lagoon, Unawatuna Lagoon"
"wildlife viewing, hiking, city tours","Kandy City Centre, Wilpattu National Park, Colombo City Tour, Yala National Park, Udawalawe National Park"
"waterfalls, historic sites, fishing","Bambarakanda Falls, Diyaluma Falls, St Clairs Falls, Devon Falls, Trincomalee"
"horse shows, caving, whale watching","Ritigala, Kandy, Trincomalee, Belilena Caves, Batatotalena (Batadombalena) Cave"
"butterfly watching, horseback riding, sightseeing","Sinharaja Forest Reserve, Nuwara Eliya, Ella, Horton Plains, Knuckles"
"animal encounters, kayaking, architecture tours","Madu River, Galle Dutch Fort, Elephant Transit Home, Colombo Port City, Bentota River"
"landscape photography, wildlife viewing, sea cruises","Wasgamuwa National Park, Yala National Park, Ella Gap, Wilpattu National Park, Udawalawe National Park"
"water parks, sailing lessons, wildlife viewing","Trincomalee, Udawalawe National Park, Minneriya National Park, Yala National Park, Negombo"
"cultural festivals, hot springs, tea tasting","Kanniya Hot Springs, Madunagala Hot Water Spring, Maha Oya Hot Water Springs, Kandy, Nallur Kandaswamy Devasthanam"
"hiking, hot springs, beach visits","Mahapelessa Hot Springs, Nilaveli Beach, Kanniya Hot Springs, Passikuda Beach, Horton Plains National Park"
"architecture tours, traditional ceremonies, history tours","Polonnaruwa Ancient City, Nallur Kandaswamy Kovil, Sigiriya, Galle Dutch Fort, Sri Dalada Maligawa"
"caving, kayaking, botanical gardens","Hakgala Botanical Garden, Unawatuna Lagoon, Belilena Caves, Kalpitiya Lagoon, Wavulpone Cave"
"horse shows, beach visits, literary tours","Martin Wickramasinghe Folk Museum, Tangalle Beach, Bentota Beach, Uppuveli Beach, Nuwara Eliya"
"art classes, architecture photography, historic walks","Galle, Ambuluwawa Tower, Colombo, Anuradapura, Kandy Lake"
"outdoor adventures, temple pilgrimages, museum visits","Mihintale, Kandy National Museum, Maritime Museum, Jaya Sri Maha Bodhi, Dambulla Royal Cave Temple and Golden Temple"
"camping, hot springs, temple pilgrimages","Maha Oya Hot Water Springs, Meemure, Mahapelessa Hot Springs, Jaya Sri Maha Bodhi, Horton Plains"
"wildlife viewing, hot springs, literary tours","Kanneliya National Rain Forest Reserve, Udawalawe National Park, Wilpattu National Park, Mahapelessa Hot Springs, Yala National Park"
"history tours, amusement parks, city tours","Sigiriya, Kandy City Centre, Galle Dutch Fort, Colombo City Tour, Galle City Tour"
"city tours, public art installations, local crafts","Galle City Tour, Ambalangoda, Kandy, Colombo City Tour, Colombo"
"cultural festivals, spiritual retreats, water parks","Sri Pada / Adams Peak, Dambulla Royal Cave Temple and Golden Temple, Trincomalee, Ruhunu Maha Kataragama Dewalaya, Seetha Eliya"
"yoga retreats, boat safaris, local crafts","Kandy, Hiriketiya, Galle, Ambalangoda, Bentota River"
"tea tasting, golfing, fishing","Weligama Beach, Nuwara Eliya Golf Club, Royal Colombo Golf Club, Kandy, Victoria Golf Club"
"historic sites, city tours, kayaking","Anuradhapura, Colombo Port City, Bentota River, Mihintale, Ahungalla"
"arts and culture, spiritual retreats, amusement parks","Jaffna Public Library, Excel World, Sri Pada / Adams Peak, Nelung Arts Centre, National Gallery of Art"
"landscape photography, sightseeing, rock climbing","Pidurangala Rock, Sigiriya, Galle Lighthouse, Surathali Ella, Ella"
"art classes, river cruises, traditional ceremonies","Madu River, Colombo, Bentota River, Nallur Kandaswamy Kovil, Sri Dalada Maligawa"
"paddleboarding, temple pilgrimages, yoga retreats","Mihintale, Negambo, Sri Pada / Adams Peak, Dambulla Royal Cave Temple and Golden Temple, Hiriketiya"
"safaris, local crafts, theater","Kandy, Yala National Park, Ambalangoda, Nelung Arts Centre, Wilpattu National Park"
"literary tours, golfing, architecture photography","Ambuluwawa Tower, Dambulla Royal Cave Temple and Golden Temple, Royal Colombo Golf Club, Galle Fort, Velgam Vehera Buddhist Temple"
"public art installations, beachfront dining, sailing","Mirissa Beach, Negombo Lagoon, Colombo Port City, Colombo, Kandy"
"arts and culture, horse shows, photography","Nine Arches Bridge, Museum of Modern and Contemporary Art, Horton Plains National Park, Sinharaja Forest Reserve, National Gallery of Art"
"traditional ceremonies, historic walks, bird watching","Sinharaja Forest Reserve, Bundala National Park, Galle Fort, Kumana National Park, Kandy Lake"
"hot springs, waterfalls, beachfront dining","Ramboda Falls, Devon Falls, Kanniya Hot Springs, Bopath Falls, Mirissa Beach"
"amusement parks, sailing lessons, tea tasting","Negombo, Excel World, Perl Bay, Kandy, Nuwara Eliya"
"horse shows, whale watching, elephant rides","Trincomalee, Udawalawe, Mirissa Beach, Pinnawala, Kandy"
"architecture photography, sea cruises, safaris","Kumana National Park, Yala National Park, Galle Fort, Negombo Lagoon, Trincomalee Harbour"
"traditional ceremonies, caving, scuba diving","Hikkaduwa Coral Sanctuary, Batatotalena (Batadombalena) Cave, Negombo, Wavulpone Cave, Nallur Kandaswamy Kovil"
"golfing, theater, yoga retreats","Galle, Nelum Pokuna Theatre, Nelung Arts Centre, Victoria Golf Club, Hiriketiya"
"archaeological sites, animal encounters, river cruises","Madu River, Udawalawe National Park, Elephant Transit Home, Pinnawala Elephant Orphanage, Polonaruwa"
"city tours, mountain biking, golfing","Knuckles, Royal Colombo Golf Club, Kandy City Centre, Hatton, Colombo City Tour"
"village homestays, cultural experiences, bird watching","Mihintale, Arankelle Forest Monastery, Anuradhapura, Kumana National Park, Dambulla Royal Cave Temple and Golden Temple"
"butterfly watching, animal encounters, beach visits","Nilaveli Beach, Pinnawala Elephant Orphanage, Elephant Transit Home, Uppuveli Beach, Marakolliya Beach"
"traditional ceremonies, golfing, kayaking","Bentota River, Nuwara Eliya Golf Club, Unawatuna Lagoon, Kitulgala, Nallur Kandaswamy Kovil"
"paddleboarding, tea tasting, art classes","Unawatuna Beach, Negambo, Nuwara Eliya, Colombo, Bentota River"
